预测值：0.5942608024333332 真实值：0.582222222 误差：2.06769511338%
预测值：0.6191026233763889 真实值：0.605 误差：2.33101212833%
预测值：0.5667592593166666 真实值：0.575555556 误差：1.52831409438%
预测值：0.5550462964333333 真实值：0.565 误差：1.76171744543%
预测值：0.5689629628833334 真实值：0.564444444 误差：0.800524999646%
预测值：0.585519444395 真实值：0.576111111 误差：1.63307619231%
预测值：0.59338888905 真实值：0.623333333 误差：4.80392149187%
预测值：0.5978703705 真实值：0.607222222 误差：1.54010363277%
预测值：0.5065208332500001 真实值：0.463333333 误差：9.32104322613%
预测值：0.54501481485 真实值：0.545 误差：0.00271832110092%
预测值：0.583310185075 真实值：0.588888889 误差：0.947327081425%
预测值：0.611417901188889 真实值：0.599444444 误差：1.99742566784%
预测值：0.6194481481066667 真实值：0.645555556 误差：4.04417677932%
预测值：0.5759000001200001 真实值：0.558888889 误差：3.04373757554%
预测值：0.6306230159714287 真实值：0.62 误差：1.71338967281%
预测值：0.5748462962399999 真实值：0.558888889 误差：2.85520209009%
预测值：0.6104027779 真实值：0.612222222 误差：0.297186876696%
预测值：0.5761509259300002 真实值：0.579444444 误差：0.568392380685%
预测值：0.57025000015 真实值：0.561666667 误差：1.52818987743%
预测值：0.5233541667500001 真实值：0.53 误差：1.25393080189%
预测值：0.4823055554500001 真实值：0.461666667 误差：4.47051735056%
预测值：0.49183333329999995 真实值：0.556666667 误差：11.6467066457%
预测值：0.5623611112333333 真实值：0.562222222 误差：0.0247036185868%
预测值：0.6440490741733333 真实值：0.619444444 误差：3.97204792321%
预测值：0.48468749975000003 真实值：0.515 误差：5.88592237864%
预测值：0.56558888906 真实值：0.578333333 误差：2.20365025026%
预测值：0.58361111092 真实值：0.539444444 误差：8.18743568708%
预测值：0.583875000025 真实值：0.549444444 误差：6.26643082863%
预测值：0.5827222222 真实值：0.586111111 误差：0.578199037076%
预测值：0.63844444465 真实值：0.639444444 误差：0.156385649978%
预测值：0.6277685185333333 真实值：0.64 误差：1.91116897917%
预测值：0.6188296295 真实值：0.596666667 误差：3.71446298675%
预测值：0.5861555553125 真实值：0.591666667 误差：0.931455495954%
预测值：0.5816111112166666 真实值：0.599444444 误差：2.97497674085%
预测值：0.4989999999 真实值：0.468333333 误差：6.54804275911%
预测值：0.5920740739333333 真实值：0.592777778 误差：0.118712963404%
预测值：0.6108129629833334 真实值：0.616111111 误差：0.859933853176%
预测值：0.54465555556 真实值：0.577777778 误差：5.73269234318%
预测值：0.6036148147066667 真实值：0.612222222 误差：1.40592859652%
预测值：0.5690833334 真实值：0.562222222 误差：1.22035578309%
预测值：0.5665833334 真实值：0.552777778 误差：2.49748740804%
预测值：0.5899654761378571 真实值：0.571111111 误差：3.30134798198%
预测值：0.6482083334 真实值：0.637777778 误差：1.63545293671%
预测值：0.6114421297874999 真实值：0.623333333 误差：1.90767966078%
预测值：0.5734037038600001 真实值：0.562222222 误差：1.98880112213%
预测值：0.6216682541428573 真实值：0.617222222 误差：0.720329240326%
预测值：0.5339027778750001 真实值：0.539444444 误差：1.02729135255%
预测值：0.6410740741 真实值：0.619444444 误差：3.49177885273%
预测值：0.6313148148333333 真实值：0.636111111 误差：0.754002890961%
预测值：0.5724467591366668 真实值：0.558888889 误差：2.42586145538%
预测值：0.6093333333 真实值：0.589444444 误差：3.3741753786%
