预测值：14.753302966372367 真实值：0.623333333 误差：2266.84004935%
预测值：11.341560081977214 真实值：0.562222222 误差：1917.27353316%
预测值：26.59439802619506 真实值：0.617222222 误差：4208.72335413%
预测值：19.863020340105045 真实值：0.539444444 误差：3582.1252978%
预测值：26.1789840489376 真实值：0.619444444 误差：4126.203706%
预测值：40.50484698660609 真实值：0.636111111 误差：6267.57419988%
预测值：70.0225911978826 真实值：0.558888889 误差：12428.8930548%
预测值：32.07394816428218 真实值：0.589444444 误差：5341.38612057%
预测值：29.612785864666485 真实值：0.573888889 误差：5060.02076922%
预测值：9.45733587373531 真实值：0.557222222 误差：1597.22877164%
预测值：8.35722639153375 真实值：0.53 误差：1476.83516821%
预测值：4.546325942296853 真实值：0.596666667 误差：661.954068116%
预测值：14.680292286657 真实值：0.538888889 误差：2624.17794954%
预测值：-15.29080500736955 真实值：0.647222222 误差：2462.52781311%
预测值：17.08049940646908 真实值：0.55 误差：3005.54534663%
预测值：6.682865968842698 真实值：0.61 误差：995.551798171%
预测值：15.355400870436888 真实值：0.579444444 误差：2550.02124525%
预测值：15.547178926645365 真实值：0.555555556 误差：2698.49220456%
预测值：2.8357745948538375 真实值：0.633333333 误差：347.753883634%
预测值：23.132724167870784 真实值：0.615555556 误差：3658.02377907%
预测值：-10.508320930642462 真实值：0.618333333 误差：1799.45891153%
预测值：21.981312186940904 真实值：0.646111111 误差：3302.09475007%
预测值：15.273195522730767 真实值：0.595 误差：2466.92361727%
预测值：11.969040255066211 真实值：0.646666667 误差：1750.88251272%
预测值：5.46879956874097 真实值：0.602222222 误差：808.103249757%
预测值：-14.573359728852829 真实值：0.6 误差：2528.89328814%
预测值：-23.941335817985696 真实值：0.463333333 误差：5267.19478458%
预测值：39.05267422562026 真实值：0.656666667 误差：5847.10774708%
预测值：12.878331683433267 真实值：0.558333333 误差：2206.56687005%
预测值：36.88162882273952 真实值：0.561666667 误差：6466.46210104%
预测值：4.132010565133278 真实值：0.663888889 误差：522.394896736%
预测值：-0.27711289685151325 真实值：0.602777778 误差：145.972646465%
预测值：16.545100115741725 真实值：0.62 误差：2568.5645348%
预测值：25.139781701462944 真实值：0.62 误差：3954.80350024%
预测值：16.050446876723136 真实值：0.682777778 误差：2250.75706824%
预测值：56.9706934997974 真实值：0.612777778 误差：9197.12132932%
预测值：9.889422763400894 真实值：0.567777778 误差：1641.77700266%
预测值：23.99834601014681 真实值：0.58 误差：4037.64586382%
预测值：21.481756877294693 真实值：0.635555556 误差：3279.9967091%
预测值：2.2136124947309734 真实值：0.536111111 误差：312.901812574%
预测值：13.855636120233676 真实值：0.636111111 误差：2078.17860443%
预测值：11.102599376393592 真实值：0.468333333 误差：2270.66179024%
预测值：20.505323887083996 真实值：0.61 误差：3261.52850608%
预测值：36.96451774201575 真实值：0.626111111 误差：5803.82714707%
预测值：13.349297821864475 真实值：0.640555556 误差：1984.01873917%
预测值：23.256567642112095 真实值：0.588333333 误差：3852.95767512%
预测值：-4.773334460589858 真实值：0.636666667 误差：849.738396559%
预测值：20.48706098854729 真实值：0.651111111 误差：3046.47694417%
预测值：29.312736523531903 真实值：0.498333333 误差：5782.15449026%
预测值：29.15337463952273 真实值：0.560555556 误差：5100.80022889%
预测值：14.77031397669618 真实值：0.576666667 误差：2461.32612165%
平均误差：3273.14538895%
