预测值：0.621185302734375 真实值：0.612222222 误差：1.46402407693%
预测值：0.5725250244140625 真实值：0.579444444 误差：1.19414719695%
预测值：0.5765228271484375 真实值：0.561666667 误差：2.64501367471%
预测值：0.0640411376953125 真实值：0.53 误差：87.9167664726%
预测值：0.342559814453125 真实值：0.461666667 误差：25.7993182226%
预测值：-1.1463775634765625 真实值：0.556666667 误差：305.936089124%
预测值：0.5427398681640625 真实值：0.562222222 误差：3.46524080223%
预测值：0.6447906494140625 真实值：0.619444444 误差：4.09176410565%
预测值：1.1532135009765625 真实值：0.515 误差：123.924951646%
预测值：0.5767364501953125 真实值：0.578333333 误差：0.27611806437%
预测值：0.5972442626953125 真实值：0.539444444 误差：10.7146934848%
预测值：0.5769500732421875 真实值：0.549444444 误差：5.00608014924%
预测值：0.5949859619140625 真实值：0.586111111 误差：1.5141925733%
预测值：0.65557861328125 真实值：0.639444444 误差：2.52315418996%
预测值：0.623199462890625 真实值：0.64 误差：2.62508392334%
预测值：0.60711669921875 真实值：0.596666667 误差：1.75140204686%
预测值：0.5857391357421875 真实值：0.591666667 误差：1.00183626836%
预测值：0.5791778564453125 真实值：0.599444444 误差：3.38089505333%
预测值：-0.5280303955078125 真实值：0.468333333 误差：212.746703747%
预测值：0.5873565673828125 真实值：0.592777778 误差：0.914543496465%
预测值：0.6160430908203125 真实值：0.616111111 误差：0.011040245578%
预测值：0.5291290283203125 真实值：0.577777778 误差：8.41997590286%
预测值：0.6057891845703125 真实值：0.612222222 误差：1.05076836458%
预测值：0.5711822509765625 真实值：0.562222222 误差：1.59368104389%
预测值：0.5513153076171875 真实值：0.552777778 误差：0.264567506332%
预测值：0.596832275390625 真实值：0.571111111 误差：4.50370582803%
预测值：0.6374053955078125 真实值：0.637777778 误差：0.0583874987547%
预测值：0.6162261962890625 真实值：0.623333333 误差：1.14018236065%
预测值：0.5732421875 真实值：0.562222222 误差：1.96007291579%
预测值：0.6165313720703125 真实值：0.617222222 误差：0.111928881538%
预测值：0.5351409912109375 真实值：0.539444444 误差：0.797756439412%
预测值：0.6203460693359375 真实值：0.619444444 误差：0.145553865996%
预测值：0.6402587890625 真实值：0.636111111 误差：0.652036726096%
预测值：0.579010009765625 真实值：0.558888889 误差：3.60020053389%
预测值：0.5954742431640625 真实值：0.589444444 误差：1.02296310118%
预测值：0.5656890869140625 真实值：0.573888889 误差：1.42881352873%
预测值：0.5574188232421875 真实值：0.557222222 误差：0.0352823764784%
预测值：0.7089691162109375 真实值：0.53 误差：33.7677577756%
预测值：0.5673065185546875 真实值：0.596666667 误差：4.92069526742%
预测值：0.5589599609375 真实值：0.538888889 误差：3.72452881238%
预测值：0.6243896484375 真实值：0.647222222 误差：3.52777960743%
预测值：0.5571746826171875 真实值：0.55 误差：1.30448774858%
预测值：0.6207122802734375 真实值：0.61 误差：1.75611152024%
预测值：0.587127685546875 真实值：0.579444444 误差：1.32596690268%
预测值：0.5753021240234375 真实值：0.555555556 误差：3.55438224138%
预测值：0.602142333984375 真实值：0.633333333 误差：4.92489458401%
预测值：0.6204833984375 真实值：0.615555556 误差：0.800552019954%
预测值：0.6228179931640625 真实值：0.618333333 误差：0.725281967625%
预测值：0.628448486328125 真实值：0.646111111 误差：2.73368223687%
预测值：0.5883636474609375 真实值：0.595 误差：1.11535336791%
预测值：0.6224212646484375 真实值：0.646666667 误差：3.7492890215%
预测值：0.5930328369140625 真实值：0.602222222 误差：1.52591265321%
预测值：0.6092681884765625 真实值：0.6 误差：1.54469807943%
预测值：0.437255859375 真实值：0.463333333 误差：5.62823172167%
预测值：0.623626708984375 真实值：0.656666667 误差：5.0314656851%
预测值：0.5394439697265625 真实值：0.558333333 误差：3.38316954353%
预测值：0.5231170654296875 真实值：0.561666667 误差：6.86343054257%
预测值：0.6593780517578125 真实值：0.663888889 误差：0.679456655613%
预测值：0.5678253173828125 真实值：0.602777778 误差：5.79856489288%
预测值：0.6048126220703125 真实值：0.62 误差：2.44957708543%
预测值：0.605712890625 真实值：0.62 误差：2.30437247984%
预测值：0.6533355712890625 真实值：0.682777778 误差：4.31212140459%
预测值：0.5666351318359375 真实值：0.612777778 误差：7.53007824707%
预测值：0.5753936767578125 真实值：0.567777778 误差：1.34135203118%
预测值：0.5572967529296875 真实值：0.58 误差：3.91435294316%
预测值：0.6320953369140625 真实值：0.635555556 误差：0.544440065588%
预测值：0.5426483154296875 真实值：0.536111111 误差：1.21937491978%
预测值：0.6164093017578125 真实值：0.636111111 误差：3.09722765433%
预测值：1.6032867431640625 真实值：0.468333333 误差：242.338806613%
预测值：0.5764923095703125 真实值：0.61 误差：5.49306400487%
预测值：0.6298370361328125 真实值：0.626111111 误差：0.59509008343%
预测值：0.6017913818359375 真实值：0.640555556 误差：6.05164904136%
预测值：0.5672607421875 真实值：0.588333333 误差：3.58174348291%
预测值：0.6128692626953125 真实值：0.636666667 误差：3.7378121925%
预测值：0.6363372802734375 真实值：0.651111111 误差：2.26901837136%
预测值：-0.7551116943359375 真实值：0.498333333 误差：251.527430403%
预测值：0.544830322265625 真实值：0.560555556 误差：2.80529442016%
预测值：0.5854034423828125 真实值：0.576666667 误差：1.51504775337%
平均误差：12.6667911209%
